subject_id,group,session_id,threshold_type,slope_per_run_within_session,intercept,n_runs,first_run,last_run
e42,control,3,no_distractor,0.008333333333333335,0.26249999999999996,8,1,8
e42,control,4,distractor,-0.005476190476190477,0.26464285714285707,8,1,8
e42,control,4,no_distractor,-0.012619047619047617,0.3417857142857142,8,1,8
e42,control,5,distractor,0.007857142857142856,0.19333333333333347,6,1,6
e42,control,5,no_distractor,0.01885714285714288,0.17733333333333334,6,1,6
e43,control,1,distractor,0.00957142857142858,0.20566666666666672,6,1,6
e43,control,1,no_distractor,0.007428571428571435,0.21066666666666667,6,1,6
e43,control,2,distractor,0.022619047619047625,0.2732142857142856,8,1,8
e43,control,2,no_distractor,-7.773115951059726e-18,0.26,8,1,8
e43,control,3,distractor,-0.000714285714285731,0.43446428571428586,8,1,8
e43,control,3,no_distractor,-0.005119047619047627,0.27178571428571435,8,1,8
e43,control,4,distractor,-0.0024404761904761826,0.40035714285714274,8,1,8
e43,control,4,no_distractor,-0.0003571428571428616,0.24535714285714283,8,1,8
e43,control,5,distractor,0.006857142857142873,0.3643333333333334,6,1,6
e43,control,5,no_distractor,0.00914285714285716,0.19799999999999998,6,1,6
e44,experimental,1,distractor,0.019142857142857156,0.1813333333333334,6,1,6
e44,experimental,1,no_distractor,0.002857142857142869,0.21333333333333332,6,1,6
e44,experimental,2,distractor,0.013511904761904768,0.2735714285714285,8,1,8
e44,experimental,2,no_distractor,-0.006785714285714289,0.23928571428571424,8,1,8
e44,experimental,3,distractor,-0.00023809523809524625,0.3260714285714287,8,1,8
e44,experimental,3,no_distractor,-0.002500000000000008,0.21249999999999997,8,1,8
e44,experimental,4,distractor,-0.0010119047619047675,0.3551785714285715,8,1,8
e44,experimental,4,no_distractor,-0.0016666666666666538,0.20499999999999993,8,1,8
e44,experimental,5,distractor,-0.004857142857142862,0.34533333333333344,6,1,6
e44,experimental,5,no_distractor,0.004571428571428549,0.17733333333333343,6,1,6
e45,control,1,distractor,0.015428571428571427,0.19266666666666674,6,1,6
e45,control,1,no_distractor,0.01885714285714289,0.1906666666666667,6,1,6
e45,control,2,distractor,-0.0052380952380952465,0.26607142857142857,8,1,8
e45,control,2,no_distractor,-0.0009523809523809578,0.2517857142857142,8,1,8
e45,control,3,distractor,0.007857142857142866,0.23089285714285712,8,1,8
e45,control,3,no_distractor,0.010595238095238092,0.21607142857142853,8,1,8
e45,control,4,distractor,-0.000416666666666679,0.2700000000000001,8,1,8
e45,control,4,no_distractor,-0.023809523809523808,0.30214285714285716,8,1,8
e45,control,5,distractor,0.0034285714285714366,0.2746666666666667,6,1,6
e45,control,5,no_distractor,0.018857142857142857,0.13066666666666676,6,1,6
e46,experimental,1,distractor,0.006000000000000001,0.21733333333333335,6,1,6
e46,experimental,1,no_distractor,0.025714285714285735,0.19333333333333336,6,1,6
e46,experimental,2,distractor,0.0008333333333333347,0.23749999999999993,8,1,8
e46,experimental,2,no_distractor,-0.002261904761904773,0.3789285714285715,8,1,8
e46,experimental,3,distractor,0.01791666666666666,0.20624999999999996,8,1,8
e46,experimental,3,no_distractor,0.0014285714285714231,0.3335714285714285,8,1,8
e46,experimental,4,distractor,-0.009523809523809528,0.3678571428571429,8,1,8
e46,experimental,4,no_distractor,-0.013928571428571424,0.3739285714285713,8,1,8
e46,experimental,5,distractor,-0.0028571428571428628,0.305,6,1,6
e46,experimental,5,no_distractor,-0.013142857142857166,0.276,6,1,6
e47,control,1,distractor,0.011428571428571425,0.1933333333333334,6,1,6
e47,control,1,no_distractor,0.011428571428571442,0.19333333333333336,6,1,6
e47,control,2,distractor,0.010238095238095237,0.20892857142857144,8,1,8
e47,control,2,no_distractor,0.007738095238095243,0.2714285714285714,8,1,8
e47,control,3,distractor,0.01767857142857144,0.2610714285714284,8,1,8
e47,control,3,no_distractor,0.0003571428571428655,0.28214285714285703,8,1,8
e47,control,4,distractor,-0.009404761904761912,0.42732142857142863,8,1,8
